customer_no,recency_days,frequency,monetary,R_bin,F_bin,M_bin,R_score,F_score,M_score,RFM_code,RFM_segment
12082,297,1,32.89,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12087,184,1,857.34,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12089,264,1,1179.53,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12090,184,1,736.23,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12093,184,1,1986.98,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
12100,247,1,10683.71,"(185.0, 373.0]","(0.999, 2.0]","(6838.912, 14660.55]",1,1,4,114,Hibernating
12115,8,2,14211.47,"(-0.001, 14.0]","(0.999, 2.0]","(6838.912, 14660.55]",5,1,4,514,Lost
12116,165,1,2076.51,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
12120,165,1,454.16,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12128,329,1,472.13,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12130,31,1,63.56,"(14.0, 35.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",4,1,1,411,Lost
12134,77,1,7825.83,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
12151,175,1,215.29,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12154,338,1,9185.1,"(185.0, 373.0]","(0.999, 2.0]","(6838.912, 14660.55]",1,1,4,114,Hibernating
12160,119,1,51.2,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12161,156,1,48.53,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12165,255,1,1283.18,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12167,255,1,1457.46,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12171,308,1,1921.96,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
12174,42,1,111.75,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
12185,49,1,8369.02,"(35.0, 75.0]","(0.999, 2.0]","(6838.912, 14660.55]",3,1,4,314,Lost
12202,70,1,6810.79,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
12204,238,1,544.48,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12205,238,1,1016.4,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12214,295,1,10198.44,"(185.0, 373.0]","(0.999, 2.0]","(6838.912, 14660.55]",1,1,4,114,Hibernating
12221,107,2,16948.03,"(75.0, 185.0]","(0.999, 2.0]","(14660.55, 2112282.03]",2,1,5,215,About to Sleep
12230,107,1,16299.9,"(75.0, 185.0]","(0.999, 2.0]","(14660.55, 2112282.03]",2,1,5,215,About to Sleep
12231,175,1,5513.19,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12236,165,1,65.52,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12237,368,1,22960.43,"(185.0, 373.0]","(0.999, 2.0]","(14660.55, 2112282.03]",1,1,5,115,Hibernating
12240,165,1,3682.15,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12242,165,2,499.9,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12245,145,2,2829.37,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
12251,368,1,1280.78,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12252,368,1,344.72,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12253,368,1,2184.44,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
12255,317,1,5592.11,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
12256,1,2,6606.82,"(-0.001, 14.0]","(0.999, 2.0]","(3327.398, 6838.912]",5,1,3,513,Lost
12278,238,1,8417.1,"(185.0, 373.0]","(0.999, 2.0]","(6838.912, 14660.55]",1,1,4,114,Hibernating
12286,98,1,1567.91,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
12290,144,1,642.38,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12293,200,2,1332.27,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12309,36,1,12.86,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
12321,190,2,561.99,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12324,172,3,6207.42,"(75.0, 185.0]","(2.0, 3.0]","(3327.398, 6838.912]",2,2,3,223,Needs Attention
12325,226,1,104.32,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12336,190,1,638.92,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12338,214,1,825.42,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12340,226,1,4866.77,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
12346,325,1,840113.8,"(185.0, 373.0]","(0.999, 2.0]","(14660.55, 2112282.03]",1,1,5,115,Hibernating
12347,2,8,38321.9,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12348,75,4,25377.36,"(35.0, 75.0]","(3.0, 5.0]","(14660.55, 2112282.03]",3,3,5,335,Lost
12349,18,1,7951.1,"(14.0, 35.0]","(0.999, 2.0]","(6838.912, 14660.55]",4,1,4,414,Lost
12350,127,2,2371.9,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
12352,36,7,6811.92,"(35.0, 75.0]","(5.0, 207.0]","(3327.398, 6838.912]",3,4,3,343,Loyal
12353,204,1,296.24,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12354,232,1,6356.94,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
12355,214,1,2930.62,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
12356,22,4,20298.05,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
12357,33,1,33893.72,"(14.0, 35.0]","(0.999, 2.0]","(14660.55, 2112282.03]",4,1,5,415,Lost
12358,1,3,23772.82,"(-0.001, 14.0]","(2.0, 3.0]","(14660.55, 2112282.03]",5,2,5,525,Lost
12359,57,4,24503.01,"(35.0, 75.0]","(3.0, 5.0]","(14660.55, 2112282.03]",3,3,5,335,Lost
12360,52,3,13959.64,"(35.0, 75.0]","(2.0, 3.0]","(6838.912, 14660.55]",3,2,4,324,Lost
12361,287,1,922.62,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12362,3,10,24367.78,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12363,109,2,4747.08,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12364,7,5,15842.75,"(-0.001, 14.0]","(3.0, 5.0]","(14660.55, 2112282.03]",5,3,5,535,Lost
12365,291,1,2101.83,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
12367,4,2,1268.6,"(-0.001, 14.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",5,1,1,511,Lost
12370,51,4,27599.42,"(35.0, 75.0]","(3.0, 5.0]","(14660.55, 2112282.03]",3,3,5,335,Lost
12371,59,1,7411.53,"(35.0, 75.0]","(0.999, 2.0]","(6838.912, 14660.55]",3,1,4,314,Lost
12372,71,3,9302.48,"(35.0, 75.0]","(2.0, 3.0]","(6838.912, 14660.55]",3,2,4,324,Lost
12373,254,2,7980.55,"(185.0, 373.0]","(0.999, 2.0]","(6838.912, 14660.55]",1,1,4,114,Hibernating
12374,25,1,4112.9,"(14.0, 35.0]","(0.999, 2.0]","(3327.398, 6838.912]",4,1,3,413,Lost
12375,10,2,1385.9,"(-0.001, 14.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",5,1,1,511,Lost
12377,315,2,11241.34,"(185.0, 373.0]","(0.999, 2.0]","(6838.912, 14660.55]",1,1,4,114,Hibernating
12378,129,1,29410.6,"(75.0, 185.0]","(0.999, 2.0]","(14660.55, 2112282.03]",2,1,5,215,About to Sleep
12379,81,2,4315.06,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12380,21,4,12159.37,"(14.0, 35.0]","(3.0, 5.0]","(6838.912, 14660.55]",4,3,4,434,Lost
12381,4,3,9136.37,"(-0.001, 14.0]","(2.0, 3.0]","(6838.912, 14660.55]",5,2,4,524,Lost
12383,184,5,17227.83,"(75.0, 185.0]","(3.0, 5.0]","(14660.55, 2112282.03]",2,3,5,235,Lost
12384,28,2,1575.27,"(14.0, 35.0]","(0.999, 2.0]","(1491.454, 3327.398]",4,1,2,412,Lost
12386,337,2,4040.3,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
12387,207,1,5326.62,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
12388,15,6,16632.03,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12390,79,1,4104.7,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12391,21,1,3535.27,"(14.0, 35.0]","(0.999, 2.0]","(3327.398, 6838.912]",4,1,3,413,Lost
12393,72,6,8314.75,"(35.0, 75.0]","(5.0, 207.0]","(6838.912, 14660.55]",3,4,4,344,Loyal
12394,63,2,9390.52,"(35.0, 75.0]","(0.999, 2.0]","(6838.912, 14660.55]",3,1,4,314,Lost
12395,19,12,24180.37,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12396,262,1,6765.1,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
12397,35,3,15955.51,"(14.0, 35.0]","(2.0, 3.0]","(14660.55, 2112282.03]",4,2,5,425,Lost
12398,45,1,15525.12,"(35.0, 75.0]","(0.999, 2.0]","(14660.55, 2112282.03]",3,1,5,315,Lost
12399,119,4,12422.4,"(75.0, 185.0]","(3.0, 5.0]","(6838.912, 14660.55]",2,3,4,234,Lost
12401,303,1,124.47,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12402,323,1,837.5,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12403,49,1,1364.64,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
12405,148,1,10126.52,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
12406,22,2,21277.63,"(14.0, 35.0]","(0.999, 2.0]","(14660.55, 2112282.03]",4,1,5,415,Lost
12407,49,5,15924.92,"(35.0, 75.0]","(3.0, 5.0]","(14660.55, 2112282.03]",3,3,5,335,Lost
12408,32,5,16083.97,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
12409,78,3,66730.26,"(75.0, 185.0]","(2.0, 3.0]","(14660.55, 2112282.03]",2,2,5,225,About to Sleep
12410,308,2,2668.3,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
12411,261,1,55.24,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12412,74,3,9420.63,"(35.0, 75.0]","(2.0, 3.0]","(6838.912, 14660.55]",3,2,4,324,Lost
12413,66,3,3307.89,"(35.0, 75.0]","(2.0, 3.0]","(1491.454, 3327.398]",3,2,2,322,Needs Attention
12414,66,4,18177.6,"(35.0, 75.0]","(3.0, 5.0]","(14660.55, 2112282.03]",3,3,5,335,Lost
12415,24,20,900545.54,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12417,3,9,17859.88,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12418,112,1,4856.91,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12420,63,1,4151.1,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
12421,15,4,5091.65,"(14.0, 35.0]","(3.0, 5.0]","(3327.398, 6838.912]",4,3,3,433,Potential Loyalist
12422,95,4,14936.45,"(75.0, 185.0]","(3.0, 5.0]","(14660.55, 2112282.03]",2,3,5,235,Lost
12423,0,9,14766.41,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12424,162,2,9389.81,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
12425,78,1,5638.98,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12426,194,1,3126.61,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
12427,21,3,6109.77,"(14.0, 35.0]","(2.0, 3.0]","(3327.398, 6838.912]",4,2,3,423,Potential Loyalist
12428,25,10,41864.41,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12429,9,4,16106.1,"(-0.001, 14.0]","(3.0, 5.0]","(14660.55, 2112282.03]",5,3,5,535,Lost
12430,43,1,1410.68,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
12431,35,15,35118.12,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12432,35,5,22880.21,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
12433,0,7,115454.49,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12434,84,2,4864.51,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12435,79,2,27757.97,"(75.0, 185.0]","(0.999, 2.0]","(14660.55, 2112282.03]",2,1,5,215,About to Sleep
12436,99,1,2581.38,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
12437,1,18,33137.62,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12438,14,2,10591.5,"(-0.001, 14.0]","(0.999, 2.0]","(6838.912, 14660.55]",5,1,4,514,Lost
12441,366,1,1389.3,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12442,3,1,1297.84,"(-0.001, 14.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",5,1,1,511,Lost
12444,21,6,15868.42,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12445,22,1,694.32,"(14.0, 35.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",4,1,1,411,Lost
12446,57,1,4259.83,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
12447,243,1,2236.38,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
12448,44,1,2834.36,"(35.0, 75.0]","(0.999, 2.0]","(1491.454, 3327.398]",3,1,2,312,Lost
12449,22,4,18993.77,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
12450,156,2,1216.14,"(75.0, 185.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",2,1,1,211,About to Sleep
12451,10,6,74247.09,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12452,16,1,1115.05,"(14.0, 35.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",4,1,1,411,Lost
12453,134,1,5572.6,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12454,56,1,13925.84,"(35.0, 75.0]","(0.999, 2.0]","(6838.912, 14660.55]",3,1,4,314,Lost
12455,73,5,23270.8,"(35.0, 75.0]","(3.0, 5.0]","(14660.55, 2112282.03]",3,3,5,335,Lost
12456,44,3,19229.12,"(35.0, 75.0]","(2.0, 3.0]","(14660.55, 2112282.03]",3,2,5,325,Lost
12457,66,7,9444.71,"(35.0, 75.0]","(5.0, 207.0]","(6838.912, 14660.55]",3,4,4,344,Loyal
12458,71,3,14297.16,"(35.0, 75.0]","(2.0, 3.0]","(6838.912, 14660.55]",3,2,4,324,Lost
12461,154,1,3532.59,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12462,18,2,6362.73,"(14.0, 35.0]","(0.999, 2.0]","(3327.398, 6838.912]",4,1,3,413,Lost
12463,10,5,8933.32,"(-0.001, 14.0]","(3.0, 5.0]","(6838.912, 14660.55]",5,3,4,534,Lost
12464,10,8,1657.98,"(-0.001, 14.0]","(5.0, 207.0]","(1491.454, 3327.398]",5,4,2,542,Price Sensitive
12465,17,2,5567.22,"(14.0, 35.0]","(0.999, 2.0]","(3327.398, 6838.912]",4,1,3,413,Lost
12468,187,3,16010.86,"(185.0, 373.0]","(2.0, 3.0]","(14660.55, 2112282.03]",1,2,5,125,Hibernating
12469,291,1,615.22,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12471,2,27,91010.72,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12472,32,7,47779.49,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12473,53,3,26705.23,"(35.0, 75.0]","(2.0, 3.0]","(14660.55, 2112282.03]",3,2,5,325,Lost
12474,17,20,55889.61,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12475,53,1,6077.06,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
12476,15,11,26116.98,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12477,22,6,50865.6,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12478,3,1,1547.87,"(-0.001, 14.0]","(0.999, 2.0]","(1491.454, 3327.398]",5,1,2,512,Lost
12479,11,2,2706.55,"(-0.001, 14.0]","(0.999, 2.0]","(1491.454, 3327.398]",5,1,2,512,Lost
12480,28,4,20048.2,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
12481,22,11,38509.41,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12483,17,8,12931.64,"(14.0, 35.0]","(5.0, 207.0]","(6838.912, 14660.55]",4,4,4,444,Champions
12484,35,4,25571.48,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
12485,355,1,30.7,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12488,9,3,5085.36,"(-0.001, 14.0]","(2.0, 3.0]","(3327.398, 6838.912]",5,2,3,523,Potential Loyalist
12489,336,1,1361.97,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12490,5,10,30866.64,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12491,38,2,4623.28,"(35.0, 75.0]","(0.999, 2.0]","(3327.398, 6838.912]",3,1,3,313,Lost
12492,63,2,2042.1,"(35.0, 75.0]","(0.999, 2.0]","(1491.454, 3327.398]",3,1,2,312,Lost
12493,165,2,1759.17,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
12494,15,7,7273.18,"(14.0, 35.0]","(5.0, 207.0]","(6838.912, 14660.55]",4,4,4,444,Champions
12497,81,1,13594.44,"(75.0, 185.0]","(0.999, 2.0]","(6838.912, 14660.55]",2,1,4,214,About to Sleep
12498,21,3,1658.67,"(14.0, 35.0]","(2.0, 3.0]","(1491.454, 3327.398]",4,2,2,422,Potential Loyalist
12500,23,10,31366.81,"(14.0, 35.0]","(5.0, 207.0]","(14660.55, 2112282.03]",4,4,5,445,Champions
12501,336,1,20100.06,"(185.0, 373.0]","(0.999, 2.0]","(14660.55, 2112282.03]",1,1,5,115,Hibernating
12502,95,5,11027.11,"(75.0, 185.0]","(3.0, 5.0]","(6838.912, 14660.55]",2,3,4,234,Lost
12504,18,2,1330.34,"(14.0, 35.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",4,1,1,411,Lost
12505,253,1,1833.64,"(185.0, 373.0]","(0.999, 2.0]","(1491.454, 3327.398]",1,1,2,112,Hibernating
12506,232,1,311.08,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12507,134,3,10264.7,"(75.0, 185.0]","(2.0, 3.0]","(6838.912, 14660.55]",2,2,4,224,About to Sleep
12508,10,3,13121.98,"(-0.001, 14.0]","(2.0, 3.0]","(6838.912, 14660.55]",5,2,4,524,Lost
12509,284,1,715.84,"(185.0, 373.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",1,1,1,111,Hibernating
12510,142,2,4391.04,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12512,66,2,1156.2,"(35.0, 75.0]","(0.999, 2.0]","(5.968999999999999, 1491.454]",3,1,1,311,Lost
12513,112,1,4916.2,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12514,267,1,5134.98,"(185.0, 373.0]","(0.999, 2.0]","(3327.398, 6838.912]",1,1,3,113,Hibernating
12515,154,2,1982.88,"(75.0, 185.0]","(0.999, 2.0]","(1491.454, 3327.398]",2,1,2,212,About to Sleep
12516,77,3,15771.62,"(75.0, 185.0]","(2.0, 3.0]","(14660.55, 2112282.03]",2,2,5,225,About to Sleep
12517,28,5,15772.09,"(14.0, 35.0]","(3.0, 5.0]","(14660.55, 2112282.03]",4,3,5,435,Lost
12518,0,5,14202.72,"(-0.001, 14.0]","(3.0, 5.0]","(6838.912, 14660.55]",5,3,4,534,Lost
12519,63,1,2138.82,"(35.0, 75.0]","(0.999, 2.0]","(1491.454, 3327.398]",3,1,2,312,Lost
12520,79,6,17015.59,"(75.0, 185.0]","(5.0, 207.0]","(14660.55, 2112282.03]",2,4,5,245,Lost
12521,142,1,3386.07,"(75.0, 185.0]","(0.999, 2.0]","(3327.398, 6838.912]",2,1,3,213,About to Sleep
12522,39,3,2198.59,"(35.0, 75.0]","(2.0, 3.0]","(1491.454, 3327.398]",3,2,2,322,Needs Attention
12523,19,11,10556.31,"(14.0, 35.0]","(5.0, 207.0]","(6838.912, 14660.55]",4,4,4,444,Champions
12524,9,9,57952.31,"(-0.001, 14.0]","(5.0, 207.0]","(14660.55, 2112282.03]",5,4,5,545,Champions
12526,0,3,6572.17,"(-0.001, 14.0]","(2.0, 3.0]","(3327.398, 6838.912]",5,2,3,523,Potential Loyalist
12527,81,3,2598.56,"(75.0, 185.0]","(2.0, 3.0]","(1491.454, 3327.398]",2,2,2,222,Needs Attention
12528,9,6,8395.34,"(-0.001, 14.0]","(5.0, 207.0]","(6838.912, 14660.55]",5,4,4,544,Champions
12530,59,4,9013.53,"(35.0, 75.0]","(3.0, 5.0]","(6838.912, 14660.55]",3,3,4,334,Lost
